,serum,virus,replicate,concentration,fraction infectivity
0,LyCoV555,very low,1,0.667,6.69114E-06
1,LyCoV555,very low,1,0.16675,2.98891E-06
2,LyCoV555,very low,1,0.0416875,0.001384867
3,LyCoV555,very low,1,0.010421875,0.03796022
4,LyCoV555,very low,1,0.002605469,0.26807621
5,LyCoV555,very low,1,0.000651367,0.585728249
6,LyCoV555,very low,1,0.000162842,0.870783073
7,LyCoV555,very low,1,4.07104E-05,0.868948454
8,LyCoV555,very low,2,0.667,-8.78715E-06
9,LyCoV555,very low,2,0.16675,-5.35224E-06
10,LyCoV555,very low,2,0.0416875,0.000432523
11,LyCoV555,very low,2,0.010421875,0.034880892
12,LyCoV555,very low,2,0.002605469,0.291922352
13,LyCoV555,very low,2,0.000651367,0.659794012
14,LyCoV555,very low,2,0.000162842,0.987312355
15,LyCoV555,very low,2,4.07104E-05,0.957974846
16,S309,very low,1,6,0.02077662
17,S309,very low,1,1.5,0.024505407
18,S309,very low,1,0.375,0.031053555
19,S309,very low,1,0.09375,0.077521888
20,S309,very low,1,0.0234375,0.324174749
21,S309,very low,1,0.005859375,0.604517082
22,S309,very low,1,0.001464844,0.871946928
23,S309,very low,1,0.000366211,0.836510712
24,S309,very low,2,6,0.020576047
25,S309,very low,2,1.5,0.021317974
26,S309,very low,2,0.375,0.025585946
27,S309,very low,2,0.09375,0.070562401
28,S309,very low,2,0.0234375,0.307801324
29,S309,very low,2,0.005859375,0.673789409
30,S309,very low,2,0.001464844,0.862381517
31,S309,very low,2,0.000366211,0.892846978
32,4A8,very low,1,1,0.119856371
33,4A8,very low,1,0.25,0.114855674
34,4A8,very low,1,0.0625,0.151975262
35,4A8,very low,1,0.015625,0.17023296
36,4A8,very low,1,0.00390625,0.396375401
37,4A8,very low,1,0.000976563,0.672356348
38,4A8,very low,1,0.000244141,0.87083844
39,4A8,very low,1,6.10352E-05,1.011297084
40,4A8,very low,2,1,0.119667407
41,4A8,very low,2,0.25,0.117404175
42,4A8,very low,2,0.0625,0.127379393
43,4A8,very low,2,0.015625,0.153432713
44,4A8,very low,2,0.00390625,0.39284391
45,4A8,very low,2,0.000976563,0.679429427
46,4A8,very low,2,0.000244141,0.885308136
47,4A8,very low,2,6.10352E-05,0.937427075
48,LyCoV555,low,1,0.667,-3.2612E-06
49,LyCoV555,low,1,0.16675,-4.95391E-06
50,LyCoV555,low,1,0.0416875,0.0008521
51,LyCoV555,low,1,0.010421875,0.0428917
52,LyCoV555,low,1,0.002605469,0.275873311
53,LyCoV555,low,1,0.000651367,0.701212509
54,LyCoV555,low,1,0.000162842,0.857880143
55,LyCoV555,low,1,4.07104E-05,0.915379259
56,LyCoV555,low,2,0.667,-6.33056E-06
57,LyCoV555,low,2,0.16675,-5.94469E-07
58,LyCoV555,low,2,0.0416875,0.000996651
59,LyCoV555,low,2,0.010421875,0.042170287
60,LyCoV555,low,2,0.002605469,0.283864896
61,LyCoV555,low,2,0.000651367,0.665875087
62,LyCoV555,low,2,0.000162842,0.988887881
63,LyCoV555,low,2,4.07104E-05,0.888095087
64,S309,low,1,6,0.038897447
65,S309,low,1,1.5,0.045973661
66,S309,low,1,0.375,0.053393569
67,S309,low,1,0.09375,0.114757554
68,S309,low,1,0.0234375,0.344831998
69,S309,low,1,0.005859375,0.665323087
70,S309,low,1,0.001464844,0.846031349
71,S309,low,1,0.000366211,0.780136531
72,S309,low,2,6,0.036798771
73,S309,low,2,1.5,0.038122706
74,S309,low,2,0.375,0.053166793
75,S309,low,2,0.09375,0.120707024
76,S309,low,2,0.0234375,0.365274917
77,S309,low,2,0.005859375,0.657283264
78,S309,low,2,0.001464844,0.800273198
79,S309,low,2,0.000366211,0.826946607
80,4A8,low,1,1,0.134855289
81,4A8,low,1,0.25,0.14455288
82,4A8,low,1,0.0625,0.164365553
83,4A8,low,1,0.015625,0.185558352
84,4A8,low,1,0.00390625,0.353969291
85,4A8,low,1,0.000976563,0.70297127
86,4A8,low,1,0.000244141,0.908996706
87,4A8,low,1,6.10352E-05,0.899206781
88,4A8,low,2,1,0.138096535
89,4A8,low,2,0.25,0.143463813
90,4A8,low,2,0.0625,0.156564305
91,4A8,low,2,0.015625,0.188604712
92,4A8,low,2,0.00390625,0.375044408
93,4A8,low,2,0.000976563,0.748538796
94,4A8,low,2,0.000244141,0.907743684
95,4A8,low,2,6.10352E-05,0.939439204
96,LyCoV555,medium,1,0.667,-4.28866E-06
97,LyCoV555,medium,1,0.16675,0.000196659
98,LyCoV555,medium,1,0.0416875,0.003626783
99,LyCoV555,medium,1,0.010421875,0.074505603
100,LyCoV555,medium,1,0.002605469,0.369229702
101,LyCoV555,medium,1,0.000651367,0.687611598
102,LyCoV555,medium,1,0.000162842,0.944184943
103,LyCoV555,medium,1,4.07104E-05,1.019870898
104,LyCoV555,medium,2,0.667,0.000167988
105,LyCoV555,medium,2,0.16675,5.34711E-05
106,LyCoV555,medium,2,0.0416875,0.001846368
107,LyCoV555,medium,2,0.010421875,0.064647218
108,LyCoV555,medium,2,0.002605469,0.360944892
109,LyCoV555,medium,2,0.000651367,0.711523497
110,LyCoV555,medium,2,0.000162842,0.915314068
111,LyCoV555,medium,2,4.07104E-05,0.975393177
112,S309,medium,1,6,0.08593657
113,S309,medium,1,1.5,0.079746203
114,S309,medium,1,0.375,0.093677682
115,S309,medium,1,0.09375,0.195527001
116,S309,medium,1,0.0234375,0.475294925
117,S309,medium,1,0.005859375,0.725544949
118,S309,medium,1,0.001464844,0.843872907
119,S309,medium,1,0.000366211,1.005516223
120,S309,medium,2,6,0.082445783
121,S309,medium,2,1.5,0.077743877
122,S309,medium,2,0.375,0.091891885
123,S309,medium,2,0.09375,0.20765534
124,S309,medium,2,0.0234375,0.434330226
125,S309,medium,2,0.005859375,0.710706685
126,S309,medium,2,0.001464844,0.850095252
127,S309,medium,2,0.000366211,0.907271959
128,4A8,medium,1,1,0.187848522
129,4A8,medium,1,0.25,0.192122296
130,4A8,medium,1,0.0625,0.201002302
131,4A8,medium,1,0.015625,0.262347363
132,4A8,medium,1,0.00390625,0.441444535
133,4A8,medium,1,0.000976563,0.773727492
134,4A8,medium,1,0.000244141,0.868910997
135,4A8,medium,1,6.10352E-05,1.021814097
136,4A8,medium,2,1,0.168732169
137,4A8,medium,2,0.25,0.179597943
138,4A8,medium,2,0.0625,0.194125101
139,4A8,medium,2,0.015625,0.255976294
140,4A8,medium,2,0.00390625,0.473252786
141,4A8,medium,2,0.000976563,0.792332581
142,4A8,medium,2,0.000244141,0.898172904
143,4A8,medium,2,6.10352E-05,1.042601155
144,LyCoV555,high,1,0.667,0.00028933
145,LyCoV555,high,1,0.16675,0.000840228
146,LyCoV555,high,1,0.0416875,0.014532125
147,LyCoV555,high,1,0.010421875,0.212674555
148,LyCoV555,high,1,0.002605469,0.790492541
149,LyCoV555,high,1,0.000651367,0.963619393
150,LyCoV555,high,1,0.000162842,1.043725951
151,LyCoV555,high,1,4.07104E-05,1.154059028
152,LyCoV555,high,2,0.667,0.000741981
153,LyCoV555,high,2,0.16675,0.001084302
154,LyCoV555,high,2,0.0416875,0.013520404
155,LyCoV555,high,2,0.010421875,0.240466446
156,LyCoV555,high,2,0.002605469,0.802768955
