plasmid,replicate,virus,dilution,uL_virus,RLU_per_well,date,cells,2727_plasmid,amphoB
2800,rep1,Wu_1,0.5,50,960968,220428,very low,10cm_pooled,no_amphoB
2800,rep1,Wu_1,0.25,25,489967,220428,very low,10cm_pooled,no_amphoB
2800,rep1,Wu_1,0.125,12.5,280024,220428,very low,10cm_pooled,no_amphoB
2800,rep1,Wu_1,0.0625,6.25,157786,220428,very low,10cm_pooled,no_amphoB
2800,rep1,Wu_1,0.03125,3.125,46791,220428,very low,10cm_pooled,no_amphoB
2800,rep1,Wu_1,0.015625,1.5625,22932,220428,very low,10cm_pooled,no_amphoB
2800,rep1,Wu_1,0.0078125,0.78125,15567,220428,very low,10cm_pooled,no_amphoB
2800,rep1,Wu_1,0.00390625,0.390625,7467,220428,very low,10cm_pooled,no_amphoB
2800,rep2,Wu_1,0.5,50,952158,220428,very low,10cm_pooled,no_amphoB
2800,rep2,Wu_1,0.25,25,535497,220428,very low,10cm_pooled,no_amphoB
2800,rep2,Wu_1,0.125,12.5,281810,220428,very low,10cm_pooled,no_amphoB
2800,rep2,Wu_1,0.0625,6.25,140269,220428,very low,10cm_pooled,no_amphoB
2800,rep2,Wu_1,0.03125,3.125,58919,220428,very low,10cm_pooled,no_amphoB
2800,rep2,Wu_1,0.015625,1.5625,29174,220428,very low,10cm_pooled,no_amphoB
2800,rep2,Wu_1,0.0078125,0.78125,11843,220428,very low,10cm_pooled,no_amphoB
2800,rep2,Wu_1,0.00390625,0.390625,4906,220428,very low,10cm_pooled,no_amphoB
2800,rep1,Wu_1,0.5,50,1548793,220428,low,10cm_pooled,no_amphoB
2800,rep1,Wu_1,0.25,25,735868,220428,low,10cm_pooled,no_amphoB
2800,rep1,Wu_1,0.125,12.5,390892,220428,low,10cm_pooled,no_amphoB
2800,rep1,Wu_1,0.0625,6.25,203265,220428,low,10cm_pooled,no_amphoB
2800,rep1,Wu_1,0.03125,3.125,87319,220428,low,10cm_pooled,no_amphoB
2800,rep1,Wu_1,0.015625,1.5625,36765,220428,low,10cm_pooled,no_amphoB
2800,rep1,Wu_1,0.0078125,0.78125,22288,220428,low,10cm_pooled,no_amphoB
2800,rep1,Wu_1,0.00390625,0.390625,11914,220428,low,10cm_pooled,no_amphoB
2800,rep2,Wu_1,0.5,50,1697868,220428,low,10cm_pooled,no_amphoB
2800,rep2,Wu_1,0.25,25,727552,220428,low,10cm_pooled,no_amphoB
2800,rep2,Wu_1,0.125,12.5,396396,220428,low,10cm_pooled,no_amphoB
2800,rep2,Wu_1,0.0625,6.25,191438,220428,low,10cm_pooled,no_amphoB
2800,rep2,Wu_1,0.03125,3.125,75250,220428,low,10cm_pooled,no_amphoB
2800,rep2,Wu_1,0.015625,1.5625,34752,220428,low,10cm_pooled,no_amphoB
2800,rep2,Wu_1,0.0078125,0.78125,18298,220428,low,10cm_pooled,no_amphoB
2800,rep2,Wu_1,0.00390625,0.390625,12200,220428,low,10cm_pooled,no_amphoB
2800,rep1,Wu_1,0.5,50,2738551,220428,medium,10cm_pooled,no_amphoB
2800,rep1,Wu_1,0.25,25,1051274,220428,medium,10cm_pooled,no_amphoB
2800,rep1,Wu_1,0.125,12.5,503037,220428,medium,10cm_pooled,no_amphoB
2800,rep1,Wu_1,0.0625,6.25,296706,220428,medium,10cm_pooled,no_amphoB
2800,rep1,Wu_1,0.03125,3.125,120450,220428,medium,10cm_pooled,no_amphoB
2800,rep1,Wu_1,0.015625,1.5625,54496,220428,medium,10cm_pooled,no_amphoB
2800,rep1,Wu_1,0.0078125,0.78125,20877,220428,medium,10cm_pooled,no_amphoB
2800,rep1,Wu_1,0.00390625,0.390625,15180,220428,medium,10cm_pooled,no_amphoB
2800,rep2,Wu_1,0.5,50,2941262,220428,medium,10cm_pooled,no_amphoB
2800,rep2,Wu_1,0.25,25,1153705,220428,medium,10cm_pooled,no_amphoB
2800,rep2,Wu_1,0.125,12.5,563642,220428,medium,10cm_pooled,no_amphoB
2800,rep2,Wu_1,0.0625,6.25,295763,220428,medium,10cm_pooled,no_amphoB
2800,rep2,Wu_1,0.03125,3.125,122606,220428,medium,10cm_pooled,no_amphoB
2800,rep2,Wu_1,0.015625,1.5625,59859,220428,medium,10cm_pooled,no_amphoB
2800,rep2,Wu_1,0.0078125,0.78125,21497,220428,medium,10cm_pooled,no_amphoB
2800,rep2,Wu_1,0.00390625,0.390625,13568,220428,medium,10cm_pooled,no_amphoB
2800,rep1,Wu_1,0.5,50,5359428,220428,high,10cm_pooled,no_amphoB
2800,rep1,Wu_1,0.25,25,1001363,220428,high,10cm_pooled,no_amphoB
2800,rep1,Wu_1,0.125,12.5,362141,220428,high,10cm_pooled,no_amphoB
2800,rep1,Wu_1,0.0625,6.25,172319,220428,high,10cm_pooled,no_amphoB
2800,rep1,Wu_1,0.03125,3.125,77267,220428,high,10cm_pooled,no_amphoB
2800,rep1,Wu_1,0.015625,1.5625,39496,220428,high,10cm_pooled,no_amphoB
2800,rep1,Wu_1,0.0078125,0.78125,16492,220428,high,10cm_pooled,no_amphoB
2800,rep1,Wu_1,0.00390625,0.390625,5737,220428,high,10cm_pooled,no_amphoB
2800,rep2,Wu_1,0.5,50,5470789,220428,high,10cm_pooled,no_amphoB
2800,rep2,Wu_1,0.25,25,1012969,220428,high,10cm_pooled,no_amphoB
2800,rep2,Wu_1,0.125,12.5,387739,220428,high,10cm_pooled,no_amphoB
2800,rep2,Wu_1,0.0625,6.25,189746,220428,high,10cm_pooled,no_amphoB
2800,rep2,Wu_1,0.03125,3.125,77899,220428,high,10cm_pooled,no_amphoB
2800,rep2,Wu_1,0.015625,1.5625,32369,220428,high,10cm_pooled,no_amphoB
2800,rep2,Wu_1,0.0078125,0.78125,17514,220428,high,10cm_pooled,no_amphoB
2800,rep2,Wu_1,0.00390625,0.390625,8005,220428,high,10cm_pooled,no_amphoB
2800,rep1,Wu_1,0.25,25,7652859,220428,very low,10cm_pooled,amphoB
2800,rep1,Wu_1,0.125,12.5,4211714,220428,very low,10cm_pooled,amphoB
2800,rep1,Wu_1,0.0625,6.25,2404675,220428,very low,10cm_pooled,amphoB
2800,rep1,Wu_1,0.03125,3.125,1148595,220428,very low,10cm_pooled,amphoB
2800,rep1,Wu_1,0.015625,1.5625,490556,220428,very low,10cm_pooled,amphoB
2800,rep1,Wu_1,0.0078125,0.78125,220840,220428,very low,10cm_pooled,amphoB
2800,rep1,Wu_1,0.00390625,0.390625,90166,220428,very low,10cm_pooled,amphoB
2800,rep2,Wu_1,0.25,25,8210874,220428,very low,10cm_pooled,amphoB
